year,quarter,open,high,low,close,volume,sma5,sma10,sma15,sma20,ema5,ema10,ema15,ema20,upperband,middleband,lowerband,ht_trendline,kama10,kama20,kama30,sar,trima5,trima10,trima20,adx5,adx10,adx20,apo,cci5,cci10,cci15,macd510,macd520,macd1020,macd1520,macd1226,mom10,mom15,mom20,roc5,roc10,roc20,ppo,rsi14,rsi8,slowk,slowd,fastk,fastd,fastksr,fastdsr,ultosc,willr,atr,trange,typprice,ht_dcperiod,beta,company,average
2015,1,1608.02761,1610.159525,1605.868866,1607.993816,5978.608378,1607.979033,1607.964538,1607.948557,1607.926005,1607.97954,1607.961783,1607.939612,1607.914092,1612.700576,1607.979033,1603.257489,1607.771697,1608.387418,1609.013053,1609.282513,1494.757912,1607.978384,1607.964627,1607.930166,40.23414679,28.5496716,19.64870797,0.065907473,2.990689872,2.158236821,2.811551741,0.017757285,0.065448092,0.047690785,0.025523104,0.072565392,0.064461436,0.105518617,0.17947141,0.00303829,0.006155108,0.015239392,0.004273168,50.39262687,50.48788549,50.6338881,50.63594779,50.63700638,50.6338881,50.52689105,50.52689105,49.73379327,-49.7474375,4.381415727,4.376379654,1608.007402,22.02849091,0.421984218,ACC,2413.093958
2015,2,1486.564984,1488.625661,1484.555563,1486.528634,4164.308634,1486.578595,1486.64478,1486.714022,1486.787143,1486.579399,1486.647779,1486.719925,1486.794934,1490.814121,1486.578595,1482.343068,1487.075949,1486.920297,1486.967746,1486.888813,1697.874689,1486.578316,1486.644044,1486.78399,41.88976804,31.306963,23.04521511,-0.205362617,-1.389952307,-1.352683779,-1.573104608,-0.068380383,-0.215534851,-0.147154468,-0.075008788,-0.211759076,-0.266754098,-0.412579235,-0.573234973,-0.007574586,-0.015929167,-0.03440431,-0.013659569,49.57969879,49.70709075,48.04916708,48.03886043,48.06370979,48.04916708,49.49599254,49.48072992,48.20077943,-51.45200718,4.119554985,4.118535519,1486.569953,22.00785671,0.456972036,ACC,2230.903443
2015,3,1398.619271,1400.373229,1396.878396,1398.593396,3872.316875,1398.632654,1398.684073,1398.734861,1398.784942,1398.633195,1398.683803,1398.734239,1398.784255,1402.278798,1398.632654,1394.98651,1398.881564,1398.607464,1398.818475,1398.775462,1774.65,1398.632628,1398.683625,1398.785457,40.45218577,29.30311527,21.83495821,-0.141197316,-0.100333013,-0.123836642,-0.052179625,-0.0506087,-0.151060375,-0.100451675,-0.050016106,-0.13950802,-0.203427083,-0.301791667,-0.40334375,-0.006247833,-0.012971506,-0.025896007,-0.010170014,49.70776385,49.78143419,49.09225035,49.0873443,49.09510257,49.09225035,49.85081951,49.84453336,49.06953384,-50.96706443,3.558829293,3.55775,1398.615007,20.85870704,0.478372873,ACC,2098.812427
2015,4,1357.399291,1358.710064,1356.082509,1357.377455,2701.754822,1357.371383,1357.364397,1357.358177,1357.350821,1357.371527,1357.364431,1357.35687,1357.348709,1360.024772,1357.371383,1354.717995,1357.368566,1357.353539,1357.326067,1357.213207,1774.65,1357.371371,1357.364114,1357.351292,40.26109039,28.68168849,20.72845563,0.021255379,-1.673366756,-1.721092952,-0.682449754,0.007095608,0.022817952,0.015722345,0.008160981,0.023200943,0.026512968,0.040988694,0.060984261,0.001576423,0.002785134,0.006045557,0.001594973,49.99848766,49.9080884,49.23947283,49.23941276,49.23841497,49.23947283,49.32895229,49.32895229,49.34332417,-50.05582012,2.66763021,2.668754157,1357.39001,20.84441106,0.407796333,ACC,2036.751319
2016,1,1269.226678,1270.891878,1267.528233,1269.215222,3031.656444,1269.208433,1269.1948,1269.179286,1269.164754,1269.207352,1269.193879,1269.179827,1269.165573,1272.697984,1269.208433,1265.718882,1269.170623,1269.337541,1269.303712,1269.425519,1774.65,1269.208607,1269.196013,1269.164692,41.10362161,29.50065557,21.96489648,0.039883405,-1.39294532,-3.618468043,-4.373772402,0.013473294,0.041779648,0.028306353,0.01425379,0.040245077,0.0556,0.083444444,0.108122222,0.002328073,0.005777073,0.011318392,0.002955506,49.90646398,49.87680124,50.1210027,50.13180983,50.10803257,50.1210027,49.74093704,49.75976996,50.17436313,-50.0863441,3.405748201,3.405922222,1269.211778,21.12992771,0.444688783,ACC,1904.655994
2016,2,1483.560161,1485.030237,1482.123473,1483.598419,4033.97828,1483.494989,1483.370219,1483.245229,1483.11885,1483.495866,1483.370079,1483.244619,1483.119861,1486.510531,1483.494989,1480.479448,1482.959964,1483.36198,1483.1842,1483.021883,1774.65,1483.494809,1483.369403,1483.119746,41.72649007,30.53509732,22.36047768,0.353822994,1.653292566,4.875354149,5.770017773,0.125786675,0.376005095,0.250218419,0.124758721,0.348482648,0.501193548,0.755946237,1.01311828,0.017578891,0.034548082,0.069975249,0.023758143,51.46283609,51.32653372,50.1889376,50.17850874,50.20308297,50.1889376,49.39080522,49.37257981,49.98669438,-49.08966542,2.946603431,2.945451613,1483.584043,22.13034476,0.426251866,ACC,2226.091973
2016,3,1650.110172,1651.725624,1648.356108,1650.075269,3756.948602,1650.082062,1650.089026,1650.093077,1650.097381,1650.081493,1650.087595,1650.092989,1650.098243,1653.686718,1650.082062,1646.477407,1650.062337,1649.827032,1649.604268,1649.769163,1774.65,1650.081963,1650.089726,1650.09805,41.73131855,30.46622132,22.60517245,-0.013687414,-4.517529459,-3.941496236,-3.437517186,-0.006101313,-0.016749708,-0.010648395,-0.005254363,-0.014641673,-0.024473118,-0.02927957,-0.044634409,-0.000438307,-0.000292593,-0.000200756,-0.000828559,49.6216644,49.45471413,50.7272101,50.73013438,50.72649457,50.7272101,49.45816896,49.4591889,51.09462287,-49.42465291,3.4093502,3.413290323,1650.052333,21.18458772,0.450004028,ACC,2475.903677
2016,4,1426.410693,1428.043318,1424.659647,1426.337922,3917.70133,1426.457061,1426.605657,1426.758228,1426.912528,1426.457346,1426.607865,1426.759392,1426.910728,1429.970709,1426.457061,1422.943413,1427.122139,1426.495834,1426.485336,1426.791642,1774.65,1426.457301,1426.604935,1426.910496,40.74474238,29.81577861,22.16939897,-0.429245764,-4.23201423,-4.62770423,-6.210940186,-0.150519479,-0.453382,-0.302862521,-0.151335934,-0.423423724,-0.600479616,-0.914606497,-1.219620667,-0.019167968,-0.039354314,-0.080168071,-0.029433274,49.01243007,48.97395238,47.20230373,47.2025875,47.19505919,47.20230373,48.20795381,48.22300426,48.69913998,-52.83816841,3.43973914,3.437606279,1426.346962,21.12215163,0.45622436,ACC,2140.373141
2017,1,1404.918043,1406.297925,1403.512323,1404.882753,4455.953118,1404.832733,1404.769539,1404.703718,1404.635412,1404.832405,1404.767532,1404.700852,1404.633556,1407.700019,1404.832733,1401.965448,1404.503389,1404.812232,1404.886983,1404.55622,1774.65,1404.83264,1404.770159,1404.637547,42.54269845,30.79175941,22.50991999,0.190670871,-5.115803813,-6.294837074,-6.63843735,0.064872844,0.198848891,0.133976047,0.067296535,0.188183871,0.255634409,0.396010753,0.536301075,0.009427204,0.019518258,0.041026006,0.013806449,50.03778284,49.62544161,48.22893413,48.22872717,48.23622563,48.22893413,48.00856236,47.99269588,49.26926549,-52.06991495,2.82464575,2.819569892,1404.897667,21.31535276,0.435631385,ACC,2108.054086
2017,2,1603.853716,1605.642186,1602.105672,1603.865016,5150.355847,1603.812343,1603.74622,1603.681112,1603.617323,1603.812325,1603.747025,1603.682402,1603.617828,1607.572375,1603.812343,1600.052311,1603.503762,1603.905268,1604.053021,1603.682833,1774.65,1603.812386,1603.746114,1603.616236,42.75626919,31.58312955,23.124394,0.178796763,-3.2047584,-3.002628501,-2.828164175,0.065300762,0.194497002,0.12919624,0.064573663,0.181402957,0.263519126,0.390174863,0.513300546,0.009666956,0.019214815,0.037562608,0.011909759,50.23504011,50.06589952,49.09801548,49.09795457,49.09702826,49.09801548,48.27552298,48.27890982,49.46884986,-50.65492934,3.579304949,3.583595628,1603.870958,21.04756878,0.452450146,ACC,2406.695022
