year,open,high,low,close,volume,sma5,sma10,sma15,sma20,ema5,ema10,ema15,ema20,upperband,middleband,lowerband,ht_trendline,kama10,kama20,kama30,sar,trima5,trima10,trima20,adx5,adx10,adx20,apo,cci5,cci10,cci15,macd510,macd520,macd1020,macd1520,macd1226,mom10,mom15,mom20,roc5,roc10,roc20,ppo,rsi14,rsi8,slowk,slowd,fastk,fastd,fastksr,fastdsr,ultosc,willr,atr,trange,typprice,ht_dcperiod,beta,company,average
2015,1448.714487,1450.500465,1446.939727,1448.685445,4013.857168,1448.705875,1448.733961,1448.762636,1448.790688,1448.706375,1448.734216,1448.762116,1448.789917,1452.43802,1448.705875,1444.97373,1448.873614,1448.859202,1449.036064,1449.02031,1704.023597,1448.705673,1448.733575,1448.790847,40.75164394,29.54568592,21.47798244,-0.078320611,-0.319237159,-0.47678573,-0.122457617,-0.027840642,-0.08354221,-0.055701572,-0.027800097,-0.077867889,-0.111480407,-0.167742986,-0.221596425,-0.002864503,-0.006159634,-0.012346925,-0.005401917,49.8726523,49.92090509,49.12357869,49.11974435,49.12860008,49.12357869,49.73575776,49.7298385,49.02564898,-50.63791516,3.619173851,3.617994554,1448.708545,21.37436825,0.443692118,ACC,2173.970328
2016,1458.967366,1460.562512,1457.30793,1458.947256,3689.604612,1458.950877,1458.954818,1458.958498,1458.962562,1458.950762,1458.954746,1458.958744,1458.962787,1462.355674,1458.950877,1455.54608,1458.967246,1458.894014,1458.78182,1458.888696,1774.65,1458.950909,1458.954905,1458.962436,41.33035518,30.08506326,22.27787787,-0.011303886,-2.121020545,-1.803880253,-2.029990249,-0.003984668,-0.01202574,-0.008041072,-0.004043107,-0.011354829,-0.015633328,-0.02397346,-0.03287105,0.000122727,0.000259238,0.00041623,-0.000820585,50.00500527,49.91145525,49.56336358,49.56418141,49.56177836,49.56336358,49.19844622,49.2024588,49.99160899,-50.35344576,3.299022936,3.299238592,1458.939232,21.39481265,0.444248141,ACC,2189.216476
2017,1624.959169,1626.636074,1623.247827,1624.942615,5306.911558,1624.896194,1624.838027,1624.779213,1624.719719,1624.896115,1624.837511,1624.778396,1624.719037,1628.445653,1624.896194,1621.346735,1624.62934,1624.866452,1624.939228,1624.646735,1496.632631,1624.896177,1624.838181,1624.720283,42.10753515,30.68081988,22.52486269,0.166468846,-3.486827526,-3.450836085,-3.324641738,0.058603955,0.177077713,0.118473758,0.059359124,0.166231021,0.233371175,0.353327387,0.473275489,0.008173664,0.016477835,0.033461879,0.010901906,50.23870111,49.97651395,49.34579127,49.3460899,49.34715262,49.34579127,48.44398606,48.4407131,49.79110267,-50.54938555,3.433068168,3.432611634,1624.942172,21.33308123,0.455125107,ACC,2438.259988
2018,1515.730943,1517.667893,1513.745296,1515.698352,7561.701855,1515.725801,1515.760134,1515.794677,1515.829255,1515.725839,1515.760279,1515.794917,1515.829758,1519.927644,1515.725801,1511.523959,1515.780812,1515.828403,1515.933407,1516.161698,1174,1515.725827,1515.760063,1515.82917,41.40630854,30.32418407,22.6085477,-0.096943301,-3.391648538,-4.204640478,-4.930314651,-0.034439503,-0.103919109,-0.069479606,-0.034841561,-0.097725583,-0.137673356,-0.206790123,-0.276197857,-0.002953018,-0.00598595,-0.01197775,-0.005904938,49.40214146,49.28302181,48.8506442,48.85052074,48.84903275,48.8506442,49.08073121,49.0833886,49.45737777,-51.70192852,3.987089117,3.986846685,1515.703847,21.38730589,0.476923884,ACC,2274.540541
2019,1531.519427,1533.453626,1529.505202,1531.480289,10299.36745,1531.487001,1531.495167,1531.503014,1531.51091,1531.486931,1531.49497,1531.502804,1531.510473,1535.608871,1531.487001,1527.36513,1531.491836,1531.518209,1531.610317,1531.828401,1174,1531.486975,1531.495285,1531.510977,41.02222785,29.72246497,21.68542211,-0.021777437,-4.447909098,-5.797115426,-5.766533134,-0.008039199,-0.023541488,-0.015502289,-0.007668436,-0.021280708,-0.032083561,-0.048225014,-0.063347897,-0.000201706,-0.000295058,-0.00046765,-0.001440152,49.52006326,49.26293878,49.01056124,49.01144042,49.01134954,49.01056124,48.62543709,48.62374262,49.83556823,-51.34234484,3.994606765,3.994401966,1531.479706,21.68683823,0.511324551,ACC,2298.206227
2020,1389.212455,1391.465477,1386.916784,1389.198849,17212.71214,1389.180644,1389.157734,1389.13501,1389.112414,1389.180601,1389.15784,1389.135134,1389.112394,1393.900536,1389.180644,1384.460751,1389.078898,1389.302256,1389.295961,1389.264721,1731.240858,1389.180655,1389.157721,1389.1123,39.86800326,28.7402588,20.98892574,0.063182625,-1.956872221,-2.112142434,-2.011963627,0.022761545,0.068207598,0.045446053,0.022739819,0.063739419,0.091211799,0.13625299,0.181275578,0.005100453,0.009923006,0.019540029,0.004191768,50.01523847,49.81360869,49.34641177,49.3466747,49.34678832,49.34641177,49.00221579,49.00296497,50.0676857,-50.94806715,4.625367287,4.625399947,1389.193704,21.83204801,0.529528658,ACC,2084.923869
2021,2080.919331,2083.620073,2078.184835,2080.892641,9991.716918,2080.827738,2080.747128,2080.666892,2080.58686,2080.827859,2080.747406,2080.667098,2080.586761,2086.367658,2080.827738,2075.287818,2080.496346,2080.580573,2080.520699,2080.628977,1067.439988,2080.827706,2080.747084,2080.586607,40.5182337,29.06385844,21.1973339,0.224012432,-0.655373714,0.461960093,1.76679649,0.080452817,0.241097549,0.160644732,0.080336769,0.224876104,0.322410439,0.482160804,0.641149295,0.009427929,0.018799322,0.037392107,0.011824635,50.37876467,50.26257763,49.54555711,49.54417683,49.5467019,49.54555711,49.06392411,49.06148353,49.64503703,-50.00649758,5.488331334,5.489663371,2080.899183,21.80123191,0.486596632,ACC,3122.712491
2022,2259.922725,2262.911255,2256.768176,2259.883961,4999.878431,2259.913024,2259.945655,2259.976222,2260.00533,2259.912165,2259.943867,2259.974202,2260.004321,2266.217985,2259.913024,2253.608062,2260.122414,2259.648797,2260.097319,2260.357026,895.15,2259.913237,2259.946224,2260.006936,40.71171999,29.27439835,22.8812931,-0.079776018,-0.336399796,2.158381264,1.762585218,-0.03170176,-0.092155663,-0.060453903,-0.030119055,-0.083388194,-0.130509804,-0.18927451,-0.236235294,-0.002129868,-0.003989144,-0.007145021,-0.00360074,49.99668226,50.06921874,50.40802812,50.4236524,50.39541198,50.40802812,50.08754427,50.10061617,50.86437823,-49.04213073,6.206965676,6.205901961,2259.854464,21.0051211,0.466591256,ACC,3391.295343
2015,297.3592192,297.9242364,296.7340298,297.3246064,51582.31414,297.3913046,297.4745928,297.558195,297.6420216,297.3912923,297.4747785,297.5583435,297.6418909,298.6919607,297.3913046,296.0906485,297.8153068,297.3911007,297.3303486,297.3574576,750.0084231,297.3913128,297.4745823,297.641801,42.64437928,32.51691422,24.9001658,-0.234559133,-6.041779881,-7.685904335,-8.504291467,-0.083486208,-0.250598626,-0.167112399,-0.083545582,-0.233911991,-0.333544454,-0.501710667,-0.669811767,-0.042594208,-0.076010214,-0.140708813,-0.07788387,48.93502062,48.69872498,48.72872946,48.73091323,48.7289482,48.72872946,48.39208826,48.39289894,49.97717174,-51.89809333,1.214913277,1.212939505,297.3276242,21.73583483,0.463194739,ADANIENT,446.2912513
2016,73.1167564,73.26234568,72.9644613,73.1132784,43855.37744,73.11403002,73.1149845,73.11596545,73.11699421,73.11403582,73.11501057,73.11600893,73.11701612,73.41673608,73.11403002,72.81132397,73.12344737,73.12004873,73.1151496,73.11274918,803.9,73.11403043,73.11497979,73.11695884,41.94544675,31.36133555,23.55106633,-0.002867829,-2.276053724,-2.198772558,-2.069957008,-0.000974745,-0.0029803,-0.002005554,-0.001007195,-0.002828216,-0.003817915,-0.005963452,-0.008057323,6.78E-05,9.79E-06,-0.000615286,-0.003502808,50.06359645,49.91572126,49.80886645,49.80736679,49.80882395,49.80886645,49.36136691,49.36191437,50.0209401,-49.94612715,0.303027763,0.303091858,73.1133618,21.46718954,0.419112925,ADANIENT,109.7445763
